Filename,VisibleWingAreaInPixels,WingHeightInPixels,Cell,CellAreaInPixels,CellPerimeterInPixels
Round02-hive15-2024_06_25-h15b11.JPG,334375.0,483,2MdC,39470,983
Round02-hive15-2024_07_03-h15b04.JPG,276672.0,459,FWL,257400,2707
Round02-hive15-2024_07_03-h15b04.JPG,276672.0,459,MC,27913,1019
Round02-hive15-2024_07_03-h15b04.JPG,276672.0,459,1sMC,9925,457
Round02-hive15-2024_07_03-h15b04.JPG,276672.0,459,2sMC,12374,498
Round02-hive15-2024_07_03-h15b04.JPG,276672.0,459,3sMC,13219,467
Round02-hive15-2024_07_03-h15b04.JPG,276672.0,459,2MdC,37299,949
Round01-Hive02-2024_06_24-h02b36.JPG,167244.0,372,FWL,172983,2249
Round01-Hive02-2024_06_24-h02b36.JPG,167244.0,372,MC,22364,823
Round01-Hive02-2024_06_24-h02b36.JPG,167244.0,372,1sMC,6871,370
Round01-Hive02-2024_06_24-h02b36.JPG,167244.0,372,2sMC,8275,398
Round01-Hive02-2024_06_24-h02b36.JPG,167244.0,372,3sMC,8851,390
Round01-Hive02-2024_06_24-h02b36.JPG,167244.0,372,2MdC,21438,759
Round01-Hive03-2024_06_06-h03bee15.JPG,249295.0,416,FWL,196373,2265
Round01-Hive03-2024_06_06-h03bee15.JPG,249295.0,416,MC,21343,801
Round01-Hive03-2024_06_06-h03bee15.JPG,249295.0,416,1sMC,7609,396
Round01-Hive03-2024_06_06-h03bee15.JPG,249295.0,416,2sMC,7891,429
Round01-Hive03-2024_06_06-h03bee15.JPG,249295.0,416,3sMC,9543,396
Round01-Hive03-2024_06_06-h03bee15.JPG,249295.0,416,2MdC,25170,788
Round01-Hive03-2024_06_06-h03bee17.JPG,214647.0,396,FWL,185129,2122
Round01-Hive03-2024_06_06-h03bee17.JPG,214647.0,396,MC,20223,779
Round01-Hive03-2024_06_06-h03bee17.JPG,214647.0,396,1sMC,7057,379
Round01-Hive03-2024_06_06-h03bee17.JPG,214647.0,396,2sMC,7982,395
Round01-Hive03-2024_06_06-h03bee17.JPG,214647.0,396,3sMC,9301,385
Round01-Hive03-2024_06_06-h03bee17.JPG,214647.0,396,2MdC,25176,766
Round01-Hive03-2024_06_14-h03b03.JPG,195353.0,406,FWL,197710,2310
