Filename,VisibleWingAreaInPixels,WingHeightInPixels,Cell,CellAreaInPixels,CellPerimeterInPixels,median_marker_length_in_pixels
Round01-Hive01-2024_06_19-h01b15.JPG,270104.0,420,1sMC,5272.0,328.0,"625,0385132"
Round01-Hive01-2024_06_19-h01b15.JPG,270104.0,420,2sMC,6229.0,343.0,"625,0385132"
Round01-Hive01-2024_06_19-h01b15.JPG,270104.0,420,3sMC,6633.0,334.0,"625,0385132"
Round01-Hive01-2024_06_19-h01b15.JPG,270104.0,420,2MdC,18242.0,651.0,"625,0385132"
Round01-Hive01-2024_06_19-h01b15.JPG,270104.0,420,FWL,132711.0,1774.0,"625,0385132"
Round01-Hive01-2024_06_19-h01b16.JPG,253804.0,404,MC,14374.0,628.0,589
Round01-Hive01-2024_06_19-h01b16.JPG,253804.0,404,1sMC,4915.0,318.0,589
Round01-Hive01-2024_06_19-h01b16.JPG,253804.0,404,2sMC,5144.0,312.0,589
Round01-Hive01-2024_06_19-h01b16.JPG,253804.0,404,3sMC,6273.0,326.0,589
Round01-Hive01-2024_06_19-h01b16.JPG,253804.0,404,2MdC,16493.0,605.0,589
Round01-Hive01-2024_06_19-h01b16.JPG,253804.0,404,FWL,116962.0,1691.0,589
Round01-Hive01-2024_06_19-h01b21.JPG,367882.5,492,MC,18704.0,756.0,
Round01-Hive01-2024_06_19-h01b21.JPG,367882.5,492,1sMC,6989.0,377.0,
Round01-Hive01-2024_06_19-h01b21.JPG,367882.5,492,2sMC,8042.0,389.0,
Round01-Hive01-2024_06_19-h01b21.JPG,367882.5,492,3sMC,8768.0,380.0,
Round01-Hive01-2024_06_19-h01b21.JPG,367882.5,492,2MdC,23811.0,725.0,
Round01-Hive01-2024_06_19-h01b21.JPG,367882.5,492,FWL,174474.0,2138.0,
Round01-Hive01-2024_06_19-h01b23.JPG,290062.5,448,MC,17984.0,691.0,"593,499939"
Round01-Hive01-2024_06_19-h01b23.JPG,290062.5,448,1sMC,5840.0,351.0,"593,499939"
Round01-Hive01-2024_06_19-h01b23.JPG,290062.5,448,2sMC,6169.0,345.0,"593,499939"
Round01-Hive01-2024_06_19-h01b23.JPG,290062.5,448,3sMC,7069.0,348.0,"593,499939"
Round01-Hive01-2024_06_19-h01b23.JPG,290062.5,448,2MdC,19202.0,665.0,"593,499939"
Round01-Hive01-2024_06_19-h01b23.JPG,290062.5,448,FWL,142712.0,1858.0,"593,499939"
Round01-Hive01-2024_06_19-h01b26.JPG,213770.0,413,MC,14634.0,665.0,"578,8504333"
Round01-Hive01-2024_06_19-h01b26.JPG,213770.0,413,1sMC,4945.0,316.0,"578,8504333"
Round01-Hive01-2024_06_19-h01b26.JPG,213770.0,413,2sMC,5720.0,324.0,"578,8504333"
Round01-Hive01-2024_06_19-h01b26.JPG,213770.0,413,3sMC,6461.0,330.0,"578,8504333"
Round01-Hive01-2024_06_19-h01b26.JPG,213770.0,413,2MdC,17481.0,635.0,"578,8504333"
Round01-Hive01-2024_06_19-h01b26.JPG,213770.0,413,FWL,127682.0,1914.0,"578,8504333"
Round01-Hive01-2024_06_19-h01b36.JPG,268402.0,436,MC,16802.0,699.0,"611,6930237"
Round01-Hive01-2024_06_19-h01b36.JPG,268402.0,436,1sMC,5565.0,332.0,"611,6930237"
Round01-Hive01-2024_06_19-h01b36.JPG,268402.0,436,2sMC,6432.0,350.0,"611,6930237"
Round01-Hive01-2024_06_19-h01b36.JPG,268402.0,436,3sMC,6914.0,340.0,"611,6930237"
Round01-Hive01-2024_06_19-h01b36.JPG,268402.0,436,2MdC,19410.0,671.0,"611,6930237"
Round01-Hive01-2024_06_19-h01b36.JPG,268402.0,436,FWL,141928.0,1861.0,"611,6930237"
Round01-Hive01-2024_06_19-h01b37.JPG,185916.0,378,MC,13183.0,619.0,"619,9138184"
Round01-Hive01-2024_06_19-h01b37.JPG,185916.0,378,1sMC,4499.0,301.0,"619,9138184"
Round01-Hive01-2024_06_19-h01b37.JPG,185916.0,378,2sMC,4705.0,296.0,"619,9138184"
Round01-Hive01-2024_06_19-h01b37.JPG,185916.0,378,3sMC,5457.0,298.0,"619,9138184"
Round01-Hive01-2024_06_19-h01b37.JPG,185916.0,378,2MdC,14521.0,566.0,"619,9138184"
Round01-Hive01-2024_06_19-h01b37.JPG,185916.0,378,FWL,106298.0,1612.0,"619,9138184"
Round01-Hive01-2024_06_19-h01b41.JPG,286140.5,451,MC,15017.0,676.0,"605,0209351"
Round01-Hive01-2024_06_19-h01b41.JPG,286140.5,451,1sMC,6130.0,357.0,"605,0209351"
Round01-Hive01-2024_06_19-h01b41.JPG,286140.5,451,2sMC,6755.0,364.0,"605,0209351"
Round01-Hive01-2024_06_19-h01b41.JPG,286140.5,451,3sMC,7005.0,340.0,"605,0209351"
Round01-Hive01-2024_06_19-h01b41.JPG,286140.5,451,2MdC,20805.0,688.0,"605,0209351"
Round01-Hive01-2024_06_19-h01b41.JPG,286140.5,451,FWL,146178.0,1904.0,"605,0209351"
Round01-Hive01-2024_06_19-h01b42.JPG,276379.0,459,MC,19364.0,738.0,"651,9886169"
Round01-Hive01-2024_06_19-h01b42.JPG,276379.0,459,1sMC,6814.0,367.0,"651,9886169"
Round01-Hive01-2024_06_19-h01b42.JPG,276379.0,459,2sMC,7357.0,371.0,"651,9886169"
Round01-Hive01-2024_06_19-h01b42.JPG,276379.0,459,3sMC,8260.0,372.0,"651,9886169"
Round01-Hive01-2024_06_19-h01b42.JPG,276379.0,459,2MdC,22480.0,718.0,"651,9886169"
Round01-Hive01-2024_06_19-h01b42.JPG,276379.0,459,FWL,133977.0,2104.0,"651,9886169"
Round01-Hive01-2024_06_19-h01b46.JPG,220458.5,387,MC,13055.0,599.0,591
Round01-Hive01-2024_06_19-h01b46.JPG,220458.5,387,1sMC,4423.0,297.0,591
Round01-Hive01-2024_06_19-h01b46.JPG,220458.5,387,2sMC,4576.0,293.0,591
Round01-Hive01-2024_06_19-h01b46.JPG,220458.5,387,3sMC,5613.0,305.0,591
Round01-Hive01-2024_06_19-h01b46.JPG,220458.5,387,2MdC,14010.0,565.0,591
Round01-Hive01-2024_06_19-h01b46.JPG,220458.5,387,FWL,110892.0,1694.0,591
Round01-Hive01-2024_06_19-h01b47.JPG,273096.0,447,MC,17180.0,719.0,"588,6159668"
Round01-Hive01-2024_06_19-h01b47.JPG,273096.0,447,1sMC,6235.0,356.0,"588,6159668"
Round01-Hive01-2024_06_19-h01b47.JPG,273096.0,447,2sMC,6673.0,356.0,"588,6159668"
Round01-Hive01-2024_06_19-h01b47.JPG,273096.0,447,3sMC,7293.0,350.0,"588,6159668"
Round01-Hive01-2024_06_19-h01b47.JPG,273096.0,447,2MdC,20345.0,685.0,"588,6159668"
Round01-Hive01-2024_06_19-h01b47.JPG,273096.0,447,FWL,146701.0,1879.0,"588,6159668"
Round01-Hive01-2024_06_27-h01b02.JPG,397586.5,505,MC,21089.0,788.0,"605,6785278"
Round01-Hive01-2024_06_27-h01b02.JPG,397586.5,505,1sMC,7598.0,391.0,"605,6785278"
Round01-Hive01-2024_06_27-h01b02.JPG,397586.5,505,2sMC,8220.0,403.0,"605,6785278"
Round01-Hive01-2024_06_27-h01b02.JPG,397586.5,505,3sMC,8900.0,387.0,"605,6785278"
Round01-Hive01-2024_06_27-h01b02.JPG,397586.5,505,2MdC,26007.0,767.0,"605,6785278"
Round01-Hive01-2024_06_27-h01b02.JPG,397586.5,505,FWL,184114.0,2089.0,"605,6785278"
Round01-Hive01-2024_06_27-h01b07.JPG,294124.0,438,MC,16643.0,691.0,"613,1173096"
Round01-Hive01-2024_06_27-h01b07.JPG,294124.0,438,1sMC,5596.0,333.0,"613,1173096"
Round01-Hive01-2024_06_27-h01b07.JPG,294124.0,438,2sMC,6338.0,345.0,"613,1173096"
Round01-Hive01-2024_06_27-h01b07.JPG,294124.0,438,3sMC,7546.0,358.0,"613,1173096"
Round01-Hive01-2024_06_27-h01b07.JPG,294124.0,438,2MdC,19634.0,673.0,"613,1173096"
Round01-Hive01-2024_06_27-h01b07.JPG,294124.0,438,FWL,126542.0,1831.0,"613,1173096"
Round01-Hive01-2024_06_27-h01b10.JPG,349339.5,473,MC,18413.0,747.0,"626,9526672"
Round01-Hive01-2024_06_27-h01b10.JPG,349339.5,473,1sMC,6712.0,367.0,"626,9526672"
Round01-Hive01-2024_06_27-h01b10.JPG,349339.5,473,2sMC,6888.0,359.0,"626,9526672"
Round01-Hive01-2024_06_27-h01b10.JPG,349339.5,473,3sMC,8072.0,366.0,"626,9526672"
Round01-Hive01-2024_06_27-h01b10.JPG,349339.5,473,2MdC,22339.0,712.0,"626,9526672"
Round01-Hive01-2024_06_27-h01b10.JPG,349339.5,473,FWL,165132.0,1970.0,"626,9526672"
Round01-Hive01-2024_06_27-h01b15.JPG,248715.5,419,MC,16140.0,679.0,"622,0050049"
Round01-Hive01-2024_06_27-h01b15.JPG,248715.5,419,1sMC,5165.0,324.0,"622,0050049"
Round01-Hive01-2024_06_27-h01b15.JPG,248715.5,419,2sMC,6004.0,337.0,"622,0050049"
Round01-Hive01-2024_06_27-h01b15.JPG,248715.5,419,3sMC,6404.0,328.0,"622,0050049"
Round01-Hive01-2024_06_27-h01b15.JPG,248715.5,419,2MdC,18247.0,647.0,"622,0050049"
Round01-Hive01-2024_06_27-h01b15.JPG,248715.5,419,FWL,130325.0,1763.0,"622,0050049"
Round01-Hive01-2024_06_27-h01b16.JPG,214321.0,404,MC,14333.0,629.0,"592,8757935"
